콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (USD),노출수,노출 클릭률 (%)
합계,,,,13537,425.1348,28,10.953,116312,6.06
_4JLfEWkvUY,[동양풍 Beat] 척살 (Slaughter) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,"Dec 1, 2025",162,4119,98.0979,8,5.369,26710,6.3
LbvbdVN8te8,[동양풍 Beat] 출정 (March to War) | “북을 울려라. 출정이다.” | Dark Oriental Trap & Epic War Drums,"Mar 6, 2026",139,900,19.0439,4,0.638,11585,5.81
QsgwOCGGAdU,"[동양풍 Beat] 적의 칼날이 닿기 전, 먼저 베어라 | 토벌 (Subjugation) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal","Dec 12, 2025",145,647,17.1626,1,0.267,4194,7.32
hZshMDahSto,[동양풍 Beat] 천하일검(The Absolute Edge) : 밤을 끝낼 단 하나의 검 | Oriental Trap & Battle BGM,"Dec 26, 2025",189,620,20.4929,0,0.279,4317,6.95
mJBZFTyrZ1I,[동양풍 Beat] 척살II: 멸(滅) (Slaughter2) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,"Jan 1, 2026",165,606,14.4437,1,0.529,3392,9.88
1oSFDssWnzg,[동양풍 Battle Beat] 혈서 (Blood Oath) | 결전을 부르는 피의 서약 | Oriental Trap & Battle BGM,"Feb 24, 2026",169,497,20.7512,1,0.274,5717,4.13
jAzK5_bJV_U,[동양풍 Beat] 압도적인 4시간 동양풍 플레이리스트 | 어가(御駕): 왕의 비장한 행차 | Oriental Trap & Epic Battle Music,"Dec 23, 2025",15240,401,74.8313,0,0.857,3336,7.34
SvapyxF8oqQ,"[동양풍 Beat] 군주 | 무릎을 꿇어라, 진정한 주인이 돌아왔다 | Dark Oriental Trap & Epic War Drums","Feb 8, 2026",201,390,12.0982,1,0.187,2254,8.78
1J5W_9qsLbE,[동양풍 Beat] 어명: 혼(魂) | 산나비(SANABI) 헌정곡 | 천 개의 혼을 깨우는 판소리 | Oriental Trap & Battle BGM,"Jan 23, 2026",166,364,9.6904,1,0.162,2495,8.26
yXZ1p2vPUrQ,[동양풍 Beat] 만검돌격 (萬劍突擊)| 멈춤 없이 밀어붙이는 전면전의 타격감| Oriental Trap & Battle BGM,"Feb 10, 2026",183,343,9.6052,1,0.251,2624,4.08
fLYSURHdRww,[동양풍 Beat] 잠행(Silent Advance) | 정적을 찢고 다가오는 압도적 긴장 | Dark Oriental Trap & Epic War Drums,"Mar 1, 2026",148,309,6.3852,2,0.146,6148,3.51
ttrWT_P6ETc,"[동양풍 Beat] 사자(使者)의 발소리: 숨을 죽여라, 산 자의 시간은 끝났으니 | Oriental Trap & Battle BGM","Dec 17, 2025",213,295,9.0932,0,0.317,2289,6.82
V8tOXbsH-mM,[동양풍 Beat] 대취타(DAECHWITA) : 천하를 호령하는 발걸음 | Oriental Trap & Dark Epic Battle BGM,"Dec 28, 2025",165,267,7.5935,1,0.147,1751,6.4
CaW0wEfuWO4,[동양풍 Epic] 추살(追殺) | 그림자조차 밟지 못하게 달려라 | 조선 다크 판타지 BGM,"Jan 12, 2026",163,229,9.1344,0,0.098,1655,5.74
I2oNp_oxYR8,동양풍 전투 브금 | 진격 (Advance) | 물러설 길은 없다 | Epic Battle Music,"Mar 9, 2026",199,223,5.2887,0,0.107,2180,6.88
NcsJhlp91fI,"[동양풍 Trap Beat] 흑검 (黑劍, Black Blade) | 어둠을 가르는 단죄의 일격 | Oriental Trap & Battle BGM","Feb 20, 2026",231,223,6.981,1,0.118,1670,8.62
