상품ID,곡명,유튜브_제목,음원링크,영상링크,영상ID,게시일,러닝타임(초),bpm,key,energy,mood,분위기_해석,음색_해석,화성_해석,리듬_해석,장르_추천,사용용도_추천,mood_advanced,썸네일URL,조회수,좋아요,댓글,좋아요율,상품유형,유튜브URL,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,spectral_bandwidth_mean,spectral_contrast_mean,spectral_flatness_mean,timbre_brightness,timbre_warmth,timbre_richness,harmonic_percussive_ratio,chroma_diversity,onset_strength_mean,tempo_stability
SS-001,무용음악,[Dance & Film Music Vol.4] 무용음악 | A Strong Wind | 파워풀함 박진감 긴장감,,https://www.youtube.com/watch?v=uy8pJu7XU1k,uy8pJu7XU1k,2023-04-29,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/uy8pJu7XU1k/maxresdefault.jpg,6576,75,5,0.0114,,https://www.youtube.com/watch?v=uy8pJu7XU1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-002,Misterious,[Dance & Film Music Vol.2] Misterious (신비로움) | 신비로움 우주 동굴 | 무용음악 비트,,https://www.youtube.com/watch?v=WNMWV-fHOpY,WNMWV-fHOpY,2023-04-29,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/WNMWV-fHOpY/maxresdefault.jpg,4836,73,0,0.0151,,https://www.youtube.com/watch?v=WNMWV-fHOpY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-003,Lonely winter,[Dance & Film Music] Lonely winter | 신비로움 쓸쓸함 겨울 | 무용음악 비트,,https://www.youtube.com/watch?v=zSRtATCJfMs,zSRtATCJfMs,2023-04-29,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/zSRtATCJfMs/maxresdefault.jpg,1568,33,0,0.021,,https://www.youtube.com/watch?v=zSRtATCJfMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-004,City,[Dance & Film Music Vol.5] City | 도시 차가움 현대적 | 무용음악 비트,,https://www.youtube.com/watch?v=RYbQNM89ig4,RYbQNM89ig4,2024-02-12,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/RYbQNM89ig4/maxresdefault.jpg,1630,17,0,0.0104,,https://www.youtube.com/watch?v=RYbQNM89ig4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-005,민속적인 신나는 리듬 비트,[Beat] 민속적인 신나는 리듬 비트 | bpm 140 | Free to Use,,https://www.youtube.com/watch?v=aOjCWQ3v28o,aOjCWQ3v28o,2024-02-16,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/aOjCWQ3v28o/maxresdefault.jpg,739,6,0,0.0081,,https://www.youtube.com/watch?v=aOjCWQ3v28o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-006,사이렌,"[Dance & Film Music Vo.6] 사이렌 (Siren) | 현대적 신비로움, 웅장한 어둠의 선율",,https://www.youtube.com/watch?v=VLMcw5I4IwY,VLMcw5I4IwY,2025-07-20,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/VLMcw5I4IwY/hqdefault.jpg,271,10,0,0.0369,,https://www.youtube.com/watch?v=VLMcw5I4IwY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-007,Neo beat flow 현대적인 비트,[Beat] Neo beat flow 현대적인 비트 | BPM 107 | Free to Use,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/01_Logicfile_로직파일/Beat_신나는 비트1/Bounces/민속 퍼커션 bpm 107 (로고포함).mp3,https://www.youtube.com/watch?v=Sm_tw_ImUjU,Sm_tw_ImUjU,2025-08-19,116.0,107.0,F# major,Medium,"Bright, Aggressive","공격적인/강렬한, 선명한/활기찬, 에너지가 넘치는, 밝은, 강렬한","화려한, 차가운, 풍성한","균형잡힌, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 팝/밝은 음악","운동/스포츠, 액션 장면, 게임 전투, 트레일러","Aggressive, Bright, Energetic",https://i.ytimg.com/vi/Sm_tw_ImUjU/maxresdefault.jpg,234,8,0,0.0342,,https://www.youtube.com/watch?v=Sm_tw_ImUjU,2477.28,5216.23,0.1063,2533.52,20.0,0.0439,85.84,-11.01,13.07,0.86,0.1169,2.5672,6.48
SS-008,흑운,"[동양풍 EPIC MUSIC] 흑운 (Black Cloud) | 사극, 비장함, 어둠의 선율 동양풍 BGM",,https://www.youtube.com/watch?v=G6KVn8kKjCM,G6KVn8kKjCM,2025-08-22,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/G6KVn8kKjCM/maxresdefault.jpg,698,17,2,0.0244,,https://www.youtube.com/watch?v=G6KVn8kKjCM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-009,강한 움직임을 위한 비트,[Beat] 강한 움직임을 위한 비트 | BPM 128 | Free to Use,,https://www.youtube.com/watch?v=y_tGLyzhbps,y_tGLyzhbps,2025-08-25,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/y_tGLyzhbps/maxresdefault.jpg,589,13,0,0.0221,,https://www.youtube.com/watch?v=y_tGLyzhbps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SS-010,혈풍,[동양풍 Epic] 혈풍 | Blood Wind | 전쟁 파워풀함 긴장감 동양풍 BGM,,https://www.youtube.com/watch?v=cYFHvyuKazA,cYFHvyuKazA,2025-08-30,,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/cYFHvyuKazA/maxresdefault.jpg,2543,60,4,0.0236,,https://www.youtube.com/watch?v=cYFHvyuKazA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
