,,2026-02-18 1:16:22,,,,,,판단예시,,,,,,3757.80,,,,,,,,,,,,,,,
상품ID,곡명,앨범 음원명,장르,프롬프트,bpm,러닝타임,자산등급,시청유지등급,일평균시청시간(분),조회수,좋아요,댓글,좋아요율,총시청시간(분),시청유지밀도,공유수,구독자유입,업로드경과일수,게시일,평균시청시간(초),시간보정유지가치,유튜브_제목,영상ID,유튜브URL,음원파일,영상파일,최종썸네일,썸네일URL,러닝타임(초)
X,2월 플레이리스트 (2),,Playlist_4hours,,,4:00,낮음,낮음,0.00,172,9,1,5.23%,0,0.0%,0,0,2,2026-02-15,0,0.000,[동양풍 Dark Beat] 4시간 다크 게임 플레이 BGM | 암살자의 밤 | Oriental Epic Music & Game BGM,,https://www.youtube.com/watch?v=VZWriv2tVGw,,,,,14448
SS-044,종언(終焉),,Dsrk Trap_Midium,"Dark Oriental Orchestral, Massive Percussion, Deep Synth Bass, Gong Sounds, Atmospheric, Cinematic, Reverb Heavy, Slow Burn, Immersive, High Fidelity, Studio Quality, Dry Mix, Crisp Transients",,3:29,높음,낮음,40.00,235,8,0,3.4%,160,27.3%,4,0,4,2026-02-13,57,10.909,[동양풍 Beat] 종언(終焉) | 끝까지 살아남은 자의 묵직한 발걸음 | Dark Oriental Epic,lu3poWjcvMM,https://www.youtube.com/watch?v=lu3poWjcvMM,,,,,209
SS-043,만검돌격 (萬劍突擊),-,Dsrk Trap_impact,"Experimental Oriental Beats, Metallic Percussion, Sword Clash FX sounds, Rhythmic, Dark Atmosphere, Sharp, Edgy, Minimalist heavy bass, Cinematic Sound Design, Hard Hitting
More Aggressive Metallic Percussion, Sharper Beats, Sudden Silence, Harder Drop, Heavy Bass Boost, Experimental Rhythmic Texture, Cinematic SFX, ‑Voice, ‑Koto/Shamisen, ‑Japanese scale, ‑Arabic scales, ‑Phrygian dominant, ‑Middle Eastern ornaments, ‑Oud/Sitar sounds, ‑desert-style melodies",94,3:03,높음,낮음,120.43,"1,193",28,3,2.35%,843,24.0%,6,5,7,2026-02-10,44,28.956,[동양풍 Beat] 만검돌격 (萬劍突擊)| 멈춤 없이 밀어붙이는 전면전의 타격감| Oriental Trap & Battle BGM,yXZ1p2vPUrQ,https://www.youtube.com/watch?v=yXZ1p2vPUrQ,SS-043_만검돌격_마스터.wav,,,,183
SS-042,군주,-,Cinematic,"Epic Orchestral, Hybrid Trailer Music, Heavy Drums, Choir, Staccato Strings, Dramatic, Intense, Action, Heroic, Christmas Bell Hits, Dynamic Drops 아 으 어 
[Crescendo to climax]
[Big Orchestral Finish]
[End]",70,3:21,높음,높음,187.22,"1,106",39,8,3.53%,1685,47.8%,18,8,9,2026-02-08,96,89.420,"[동양풍 Beat] 군주 | 무릎을 꿇어라, 진정한 주인이 돌아왔다 | Dark Oriental Trap & Epic War Drums",SvapyxF8oqQ,https://www.youtube.com/watch?v=SvapyxF8oqQ,SS-042_2월8일_군주_마스터_bpm70.wav,,,,201
SS-041,흑룡무쌍 (黑龍無雙),-,Dsrk Trap_impact,,152,3:02,높음,중간,109.08,"1,102",40,4,3.63%,1309,40.1%,12,4,12,2026-02-05,73,43.753,[동양풍 Beat] 흑룡무쌍 (黑龍無雙) | 전장을 지배하는 압도적 흑룡의 포효 | Dark Oriental Trap & Epic War Drums,MeKDlC5LKpM,https://www.youtube.com/watch?v=MeKDlC5LKpM,SS-041_2월5일_흑룡무쌍_24. The Last Resolve.mp3,,,,182
X,2월 플레이리스트 (1),X,Playlist_4hours,,-,4:16,높음,낮음,268.20,310,11,2,3.55%,4023,5.2%,9,0,15,2026-02-02,807,14.053,"[4시간] 전투력을 높이는 동양풍 전투 브금 BGM | ""단 한 놈도 살려두지 마라"" | Oriental Battle & Dark Trap",S4itfHhNEh4,https://www.youtube.com/watch?v=S4itfHhNEh4,,,,,15401
SS-040,격살(擊殺),The Final Strike,Dsrk Trap_impact,,90,2:19,높음,중간,38.70,870,23,0,2.64%,774,38.1%,6,3,20,2026-01-28,53,14.756,[동양풍 Beat] 격살(擊殺) | 미친 타격감의 동양풍 하드 다크 트랩 | Dark Oriental Action BGM,Wem5njsZ2dk,https://www.youtube.com/watch?v=Wem5njsZ2dk,SS-040_1월28일 격살3_마스터.mp3,,,https://i.ytimg.com/vi/Wem5njsZ2dk/maxresdefault.jpg,139
SS-039,멸살(滅殺) ,Annihilation,Dsrk Trap_impact,,130,2:42,높음,중간,77.78,"1,505",41,6,2.72%,1789,44.4%,5,7,23,2026-01-25,72,34.570,[동양풍 Beat] 멸살(滅殺) | '척살'을 잇는 잔혹한 타격감 | Dark Oriental Action BGM,0GamiysWoKs,https://www.youtube.com/watch?v=0GamiysWoKs,SS-039_1월25일_멸살.mp3,,,https://i.ytimg.com/vi/0GamiysWoKs/maxresdefault.jpg,162
