상품ID,곡명,유튜브_제목,음원링크,영상링크,영상ID,썸네일URL,조회수,좋아요,댓글,좋아요율,게시일,러닝타임(초),bpm,key,energy,mood,분위기_해석,음색_해석,화성_해석,리듬_해석,장르_추천,사용용도_추천,mood_advanced,유튜브URL
SS-001,척살,[동양풍 Beat] 척살 (Slaughter) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=_4JLfEWkvUY,_4JLfEWkvUY,https://i.ytimg.com/vi/_4JLfEWkvUY/maxresdefault.jpg,38932,1394,142,0.0358,2025-12-01,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=_4JLfEWkvUY
SS-002,무용음악,[Dance & Film Music Vol.4] 무용음악 | A Strong Wind | 파워풀함 박진감 긴장감,,https://www.youtube.com/watch?v=uy8pJu7XU1k,uy8pJu7XU1k,https://i.ytimg.com/vi/uy8pJu7XU1k/maxresdefault.jpg,6576,75,5,0.0114,2023-04-29,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=uy8pJu7XU1k
SS-003,Desert,[Dance & Film Music Vol.1] Desert | 신비로움 쓸쓸함 | 무용음악 비트,,https://www.youtube.com/watch?v=58BdA7qphV0,58BdA7qphV0,https://i.ytimg.com/vi/58BdA7qphV0/maxresdefault.jpg,5711,79,3,0.0138,2023-04-28,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=58BdA7qphV0
SS-004,압도적인 4시간 동양풍 플레이리스트,[동양풍 Beat] 압도적인 4시간 동양풍 플레이리스트 | 어가(御駕): 왕의 비장한 행차 | Oriental Trap & Epic Battle Music,,https://www.youtube.com/watch?v=jAzK5_bJV_U,jAzK5_bJV_U,https://i.ytimg.com/vi/jAzK5_bJV_U/maxresdefault.jpg,5611,174,12,0.031,2025-12-23,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=jAzK5_bJV_U
SS-005,"적의 칼날이 닿기 전, 먼저 베어라","[동양풍 Beat] 적의 칼날이 닿기 전, 먼저 베어라 | 토벌 (Subjugation) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal",,https://www.youtube.com/watch?v=QsgwOCGGAdU,QsgwOCGGAdU,https://i.ytimg.com/vi/QsgwOCGGAdU/maxresdefault.jpg,5237,103,8,0.0197,2025-12-12,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=QsgwOCGGAdU
SS-006,Misterious,[Dance & Film Music Vol.2] Misterious (신비로움) | 신비로움 우주 동굴 | 무용음악 비트,,https://www.youtube.com/watch?v=WNMWV-fHOpY,WNMWV-fHOpY,https://i.ytimg.com/vi/WNMWV-fHOpY/maxresdefault.jpg,4836,73,0,0.0151,2023-04-29,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://www.youtube.com/watch?v=WNMWV-fHOpY
SS-007,사자,"[동양풍 Beat] 사자(使者)의 발소리: 숨을 죽여라, 산 자의 시간은 끝났으니 | Oriental Trap & Battle BGM",,https://www.youtube.com/watch?v=ttrWT_P6ETc,ttrWT_P6ETc,https://i.ytimg.com/vi/ttrWT_P6ETc/maxresdefault.jpg,4288,118,18,0.0275,2025-12-17,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=ttrWT_P6ETc
SS-008,천하일검,[동양풍 Beat] 천하일검(The Absolute Edge) : 밤을 끝낼 단 하나의 검 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=hZshMDahSto,hZshMDahSto,https://i.ytimg.com/vi/hZshMDahSto/maxresdefault.jpg,4170,120,12,0.0288,2025-12-26,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=hZshMDahSto
SS-009,비검,[동양풍 Beat] 비검 (Secret Blade) | 날카로운 대금 선율과 긴박한 추격 비트 | Oriental Trap & Action BGM,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/34. Blade of Benevolence.mp3,https://www.youtube.com/watch?v=5bertN4863k,5bertN4863k,https://i.ytimg.com/vi/5bertN4863k/maxresdefault.jpg,3896,89,13,0.0228,2025-12-05,181.0,143.0,C minor,Very High,"Energetic, Intense, Dark","중립적, 활기찬, 풍부한, 부드러운","화려한, 따뜻한, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","동양풍, 록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Warm, Bright, Melodic, Energetic, Tonal",https://www.youtube.com/watch?v=5bertN4863k
SS-010,암살,[동양풍 Beat] 암살 (Assassination) | 심장을 조여오는 타악기와 강렬한 트랩 | Oriental Trap & Battle BGM,,https://www.youtube.com/watch?v=hT_03xNiqbY,hT_03xNiqbY,https://i.ytimg.com/vi/hT_03xNiqbY/maxresdefault.jpg,3169,85,22,0.0268,2025-12-08,,,,,,"어두운, 차분한, 단순한, 평온한, 부드러운","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",동양풍,범용,,https://www.youtube.com/watch?v=hT_03xNiqbY
