상품ID,곡명,앨범 음원명,총시청시간(분),평균시청시간(초),댓글,공유수,구독자유입,조회수,좋아요,좋아요율,게시일,유튜브_제목,영상ID,음원파일,영상파일,러닝타임,bpm,key,energy,mood,분위기_해석,음색_해석,화성_해석,리듬_해석,장르_추천,사용용도_추천,mood_advanced,썸네일URL,유튜브URL
SS-022,척살,Slaughter II: Extinction,57760,88,142,251,285,38932,1394,3.58%,2025-12-01,[동양풍 Beat] 척살 (Slaughter) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,_4JLfEWkvUY,,,03:17,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/_4JLfEWkvUY/maxresdefault.jpg,https://www.youtube.com/watch?v=_4JLfEWkvUY
SS-026,토벌 (Subjugation),The Conquest,10150,114,8,61,30,5237,103,1.97%,2025-12-12,"[동양풍 Beat] 적의 칼날이 닿기 전, 먼저 베어라 | 토벌 (Subjugation) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal",QsgwOCGGAdU,,,03:42,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/QsgwOCGGAdU/maxresdefault.jpg,https://www.youtube.com/watch?v=QsgwOCGGAdU
SS-030,천하일검,Cheonhailgeom,7673,108,12,28,20,4170,120,2.88%,2025-12-26,[동양풍 Beat] 천하일검(The Absolute Edge) : 밤을 끝낼 단 하나의 검 | Oriental Trap & Battle BGM,hZshMDahSto,,,02:45,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/hZshMDahSto/maxresdefault.jpg,https://www.youtube.com/watch?v=hZshMDahSto
SS-023,비검,Blade of Lament,7427,113,13,22,21,3896,89,2.28%,2025-12-05,[동양풍 Beat] 비검 (Secret Blade) | 날카로운 대금 선율과 긴박한 추격 비트 | Oriental Trap & Action BGM,5bertN4863k,/Users/sinjiyong/Library/CloudStorage/GoogleDrive-sjytoto@gmail.com/내 드라이브/SOUNDSTORM/02_MUSIC_음원제작/03_music_master_마스터완성/34. Blade of Benevolence.mp3,,03:20,143,C minor,Very High,"Energetic, Intense, Dark","따뜻한/서정적인, 선명한/활기찬, 선율적인/아름다운, 에너지가 넘치는, 조화로운","화려한, 따뜻한, 풍성한","선율적, 단순한 화성","강한 타격감, 안정적 템포","록/메탈, 오케스트라/영화음악","운동/스포츠, 액션 장면, 브이로그, 밝은 광고","Warm, Bright, Melodic, Energetic, Tonal",https://i.ytimg.com/vi/5bertN4863k/maxresdefault.jpg,https://www.youtube.com/watch?v=5bertN4863k
SS-028,사자(使者)의 발소리,Underworld,7412,102,18,41,37,4288,118,2.75%,2025-12-17,"[동양풍 Beat] 사자(使者)의 발소리: 숨을 죽여라, 산 자의 시간은 끝났으니 | Oriental Trap & Battle BGM",ttrWT_P6ETc,,,02:35,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/ttrWT_P6ETc/maxresdefault.jpg,https://www.youtube.com/watch?v=ttrWT_P6ETc
SS-024,암살,The Final Strike,5721,107,22,30,14,3169,85,2.68%,2025-12-08,[동양풍 Beat] 암살 (Assassination) | 심장을 조여오는 타악기와 강렬한 트랩 | Oriental Trap & Battle BGM,hT_03xNiqbY,,,02:37,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/hT_03xNiqbY/maxresdefault.jpg,https://www.youtube.com/watch?v=hT_03xNiqbY
SS-033,척살II: 멸(滅),Slaughter II: Extinction,5008,108,22,29,9,2734,99,3.62%,2026-01-01,[동양풍 Beat] 척살II: 멸(滅) (Slaughter2) | 심장을 때리는 한국적 타악기와 강렬한 댄스 비트 | Oriental Trap & Battle BGM,mJBZFTyrZ1I,,,02:28,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/mJBZFTyrZ1I/maxresdefault.jpg,https://www.youtube.com/watch?v=mJBZFTyrZ1I
SS-027,음폭검무(音爆劍舞),Geommu,4482,96,22,21,13,2747,55,2%,2025-12-15,[동양풍 Beat] 범이 이름을 걸었으니 발걸음도 범이로다 | 음폭검무(音爆劍舞) | 웅장한 전투 액션 게임 BGM | Epic War Drums & Metal,arKPGxMfthk,,,03:33,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/arKPGxMfthk/maxresdefault.jpg,https://www.youtube.com/watch?v=arKPGxMfthk
SS-025,검무,Geommu,4318,88,12,16,12,2907,72,2.48%,2025-12-10,[동양풍 Beat] 이것은 춤이 아니다. 살기(殺氣)다. | 칼이 부딪히는 묵직한 긴장감 | Oriental Trap & Battle BGM,pk1p5WQOV-o,,,02:25,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/pk1p5WQOV-o/maxresdefault.jpg,https://www.youtube.com/watch?v=pk1p5WQOV-o
SS-029,명부 집행,Abyssal Gates,4002,94,17,48,16,2521,59,2.34%,2025-12-19,"명부(冥府) 집행: 도망칠 곳은 없다, 네 이름이 불렸으니 | Oriental Trap & Dark Battle BGM",zlITJ0Bsfhc,,,03:09,,,,,"어두운, 차분한, 평온한","은은한, 차가운, 미니멀한","타악기적, 단순한 화성","부드러운 흐름, 변화무쌍한 템포",미분류,범용,,https://i.ytimg.com/vi/zlITJ0Bsfhc/maxresdefault.jpg,https://www.youtube.com/watch?v=zlITJ0Bsfhc
